epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,16.2176,1.2498,1.87286,1.02162,0.88114,0.40346,0.66277,0.37549,1.402,2.55271,1.05282,0.000723179,0.000723179,0.000723179
15,17.2518,1.3385,1.91245,1.08591,0.88114,0.40346,0.66277,0.37549,1.402,2.55271,1.05282,0.000766646,0.000766646,0.000766646
16,18.2639,1.28093,1.71518,1.02601,0.89617,0.37607,0.66145,0.35748,1.44986,2.55088,1.08017,0.000808925,0.000808925,0.000808925
17,19.2764,1.2824,1.49715,1.03228,0.91251,0.32953,0.69697,0.46051,1.24922,2.36885,1.01673,0.0008416,0.0008416,0.0008416
18,20.2891,1.2961,1.53324,1.05892,0.92028,0.73682,0.9064,0.62617,1.1403,1.64472,0.9658,0.0008317,0.0008317,0.0008317
19,21.3132,1.20355,1.37867,0.99986,0.92028,0.73682,0.9064,0.62617,1.1403,1.64472,0.9658,0.0008218,0.0008218,0.0008218
20,22.3338,1.18179,1.41399,1.00746,0.89768,0.86362,0.97229,0.6443,1.22283,1.43175,0.96487,0.0008119,0.0008119,0.0008119
21,23.3944,1.20084,1.44059,1.02708,0.86447,0.65202,0.9436,0.56249,1.38613,1.66523,0.99671,0.000802,0.000802,0.000802
22,24.4113,1.16207,1.32065,0.98326,0.88144,0.93286,0.9675,0.62371,1.29449,1.32248,0.96639,0.0007921,0.0007921,0.0007921
23,25.3995,1.20712,1.2843,1.03752,0.88144,0.93286,0.9675,0.62371,1.29449,1.32248,0.96639,0.0007822,0.0007822,0.0007822
24,26.4224,1.18707,1.23925,0.99322,0.84637,0.93799,0.945,0.62133,1.17783,1.15838,0.95015,0.0007723,0.0007723,0.0007723
25,27.4337,1.12352,1.19971,0.97146,0.87413,0.86111,0.93512,0.62873,1.16102,1.3617,0.94967,0.0007624,0.0007624,0.0007624
26,28.4317,1.18198,1.28038,1.00528,0.886,0.911,0.95569,0.63984,1.14814,1.27334,0.93593,0.0007525,0.0007525,0.0007525
27,29.4583,1.2702,1.32706,1.05756,0.886,0.911,0.95569,0.63984,1.14814,1.27334,0.93593,0.0007426,0.0007426,0.0007426
28,30.5026,1.17796,1.18862,1.01815,0.93183,0.94176,0.96373,0.63929,1.21093,1.23061,0.94501,0.0007327,0.0007327,0.0007327
29,31.5156,1.2243,1.51636,1.03529,0.91504,0.93425,0.96007,0.66948,1.12321,1.1541,0.94397,0.0007228,0.0007228,0.0007228
30,32.5536,1.19357,1.27699,1.02903,0.81455,0.87389,0.91242,0.66459,1.06782,1.23993,0.92751,0.0007129,0.0007129,0.0007129
31,33.5713,1.14796,1.23016,0.99391,0.81455,0.87389,0.91242,0.66459,1.06782,1.23993,0.92751,0.000703,0.000703,0.000703
32,34.5917,1.16409,1.1406,0.99709,0.86701,0.92011,0.94402,0.6857,1.07708,1.02053,0.92755,0.0006931,0.0006931,0.0006931
33,35.6071,1.14738,1.06182,0.96761,0.93865,0.97619,0.9741,0.6973,1.09672,0.86453,0.92072,0.0006832,0.0006832,0.0006832
34,36.6248,1.15472,1.07203,0.97244,0.88975,0.97619,0.97637,0.67489,1.14458,0.93899,0.92358,0.0006733,0.0006733,0.0006733
35,37.6384,1.21237,1.2394,0.99992,0.88975,0.97619,0.97637,0.67489,1.14458,0.93899,0.92358,0.0006634,0.0006634,0.0006634
36,38.7089,1.1525,1.06637,0.96705,0.88153,0.91384,0.97143,0.65357,1.22356,1.16712,0.93744,0.0006535,0.0006535,0.0006535
37,39.8024,1.09383,1.02368,0.99817,0.8999,0.94559,0.98018,0.65128,1.22283,1.11364,0.92719,0.0006436,0.0006436,0.0006436
38,40.8018,1.13834,1.05113,0.97955,0.94137,0.98861,0.9831,0.68594,1.07461,0.93034,0.90369,0.0006337,0.0006337,0.0006337
39,41.7996,1.13521,0.99376,0.97523,0.94137,0.98861,0.9831,0.68594,1.07461,0.93034,0.90369,0.0006238,0.0006238,0.0006238
40,42.8348,1.17316,1.01489,0.97608,0.90131,0.97619,0.98018,0.69287,1.04377,0.90242,0.89831,0.0006139,0.0006139,0.0006139
41,43.8663,1.09685,0.9793,0.97391,0.90898,0.98428,0.9831,0.69449,1.04744,0.87221,0.90577,0.000604,0.000604,0.000604
42,44.8803,1.11731,1.02069,0.98849,0.92923,0.98125,0.9831,0.70266,1.01605,0.8222,0.90599,0.0005941,0.0005941,0.0005941
43,45.9178,1.11402,0.98138,0.97273,0.92923,0.98125,0.9831,0.70266,1.01605,0.8222,0.90599,0.0005842,0.0005842,0.0005842
44,46.9576,1.11464,1.03096,0.97823,0.92884,0.99035,0.9831,0.72133,1.01441,0.81414,0.91682,0.0005743,0.0005743,0.0005743
45,47.9914,1.10684,0.99352,0.96209,0.93993,0.98629,0.9831,0.70316,1.07274,0.77452,0.93536,0.0005644,0.0005644,0.0005644
46,49.051,1.13288,0.96066,0.97464,0.95753,0.99459,0.9831,0.70156,1.10102,0.72292,0.93891,0.0005545,0.0005545,0.0005545
47,50.0555,1.06099,0.97059,0.9587,0.95753,0.99459,0.9831,0.70156,1.10102,0.72292,0.93891,0.0005446,0.0005446,0.0005446
48,51.0765,1.09834,0.98438,1.00925,0.95874,0.99706,0.9831,0.71638,1.06469,0.69352,0.93501,0.0005347,0.0005347,0.0005347
49,52.1089,1.1026,0.95813,0.98513,0.95898,1,0.9831,0.7226,1.02505,0.67391,0.93349,0.0005248,0.0005248,0.0005248
50,53.1488,1.09856,0.94373,1.00004,0.92986,1,0.98714,0.72613,1.03321,0.68789,0.92593,0.0005149,0.0005149,0.0005149
51,54.1853,1.13283,1.04268,1.00252,0.92986,1,0.98714,0.72613,1.03321,0.68789,0.92593,0.000505,0.000505,0.000505
52,55.2232,1.08581,0.91064,0.96868,0.90898,1,0.98714,0.68977,1.10591,0.70805,0.92657,0.0004951,0.0004951,0.0004951
53,56.2397,1.07322,0.9279,1.00584,0.91332,1,0.98714,0.70131,1.04799,0.69934,0.91669,0.0004852,0.0004852,0.0004852
54,57.2884,1.07841,0.94725,0.98406,0.94416,0.99724,0.98714,0.73609,0.97844,0.65956,0.91651,0.0004753,0.0004753,0.0004753
55,58.3028,1.06583,0.94489,0.97345,0.94416,0.99724,0.98714,0.73609,0.97844,0.65956,0.91651,0.0004654,0.0004654,0.0004654
56,59.3356,1.0637,0.82685,0.92096,0.92233,0.99208,0.98714,0.72927,0.97712,0.66442,0.91751,0.0004555,0.0004555,0.0004555
57,60.348,1.05346,0.91488,0.95195,0.91475,0.99167,0.995,0.754,0.97204,0.69301,0.91139,0.0004456,0.0004456,0.0004456
58,61.3934,1.10448,0.90857,0.97254,0.94191,0.99626,0.995,0.74331,0.99945,0.7336,0.90393,0.0004357,0.0004357,0.0004357
59,62.4091,1.09101,0.88344,0.98571,0.94191,0.99626,0.995,0.74331,0.99945,0.7336,0.90393,0.0004258,0.0004258,0.0004258
60,63.4697,1.01911,0.88234,0.95457,0.9444,0.98578,0.995,0.72795,1.01287,0.71928,0.90192,0.0004159,0.0004159,0.0004159
