epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1900.81,1.04498,0.78719,0.94181,0.95783,0.99405,0.97524,0.74865,0.91433,0.79293,0.89584,2.16471e-05,2.16471e-05,2.16471e-05
1,11.6223,3.09036,4.67892,1.96456,0.00161,0.04762,0.00207,0.00021,2.31151,4.41276,1.43448,5e-05,5e-05,5e-05
2,21.7133,2.09355,4.42233,1.467,0.00645,0.28571,0.0367,0.02122,1.86611,4.16985,1.17848,0.00010879,0.00010879,0.00010879
3,36.2369,1.67154,4.12765,1.29951,0.00556,0.36111,0.14244,0.08577,1.38524,4.09317,1.04877,0.00016626,0.00016626,0.00016626
4,52.7941,1.5672,3.95605,1.19132,0.00821,0.48413,0.17603,0.11188,1.43661,4.01069,1.03236,0.00022241,0.00022241,0.00022241
5,68.1788,1.31172,3.53014,1.09635,0.00928,0.50794,0.17334,0.09177,1.49339,3.8643,1.00964,0.00027724,0.00027724,0.00027724
6,84.6521,1.29491,3.0935,1.05027,1,0.10491,0.21093,0.11213,1.27291,3.6736,0.98543,0.00033075,0.00033075,0.00033075
7,100.172,1.31515,2.84215,1.08813,0.99082,0.16667,0.36742,0.22387,1.2011,3.37195,0.9513,0.00038294,0.00038294,0.00038294
8,115.572,1.31383,2.67879,1.0518,1,0.12508,0.45949,0.29911,1.14022,3.28033,0.94556,0.00043381,0.00043381,0.00043381
9,131.284,1.31408,2.24576,1.05418,1,0.09122,0.66763,0.41603,1.1812,3.19551,0.96435,0.00048336,0.00048336,0.00048336
10,146.516,1.35295,2.19266,1.03246,0.04227,0.76587,0.51678,0.24462,1.43938,3.47163,1.13132,0.00053159,0.00053159,0.00053159
11,162.335,1.27708,2.01838,1.02202,0.04256,0.45238,0.37408,0.16839,1.57673,3.76699,1.23612,0.0005785,0.0005785,0.0005785
12,177.866,1.29837,1.90204,1.02449,0.7967,0.38095,0.39308,0.16935,1.62521,3.68124,1.20418,0.00062409,0.00062409,0.00062409
13,193.415,1.32158,1.73655,1.03268,0.91693,0.13259,0.35076,0.14454,1.72175,3.6088,1.20689,0.00066836,0.00066836,0.00066836
14,208.841,1.29426,1.67618,1.01062,0.9525,0.21212,0.39666,0.15544,1.76144,3.42489,1.1914,0.00071131,0.00071131,0.00071131
15,224.445,1.20674,1.63036,1.02421,0.9525,0.21212,0.39666,0.15544,1.76144,3.42489,1.1914,0.00075294,0.00075294,0.00075294
16,240.217,1.30951,1.68872,1.03987,1,0.14425,0.4853,0.19269,1.82392,3.4607,1.26949,0.00079325,0.00079325,0.00079325
17,257.336,1.24489,1.52294,1.0153,0.98099,0.29649,0.66039,0.32244,1.55023,3.18475,1.21119,0.000824,0.000824,0.000824
